,u,g,r,i,z,redshift
0,21.37319,19.29492,17.83899,17.3035,16.98967,0.24015724999999996
1,19.11857,17.86208,17.04089,16.62898,16.322029999999998,0.143409875
2,20.571620000000003,18.56461,17.61167,17.1362,16.78903,0.10334120000000001
3,19.07888,17.25199,16.23895,15.79193,15.423420000000002,0.08891879999999996
4,19.11872,17.98012,17.42383,17.0435,16.8666,0.06635816249999998
5,19.44831,18.36118,17.94443,17.69588,17.50499,0.05657979999999995
6,18.58407,17.31824,16.84561,16.546129999999998,16.33681,0.05525972499999994
7,18.18236,16.87017,16.26476,15.86609,15.64009,0.06322686250000001
8,19.99445,18.3856,17.47942,17.06203,16.80473,0.12914841249999998
9,20.10935,18.40019,17.48336,17.08438,16.7476,0.11358641249999998
10,19.47417,17.96433,17.27594,16.92928,16.68398,0.09397723749999995
11,19.64872,18.39012,17.7176,17.30978,17.0877,0.11503446249999999
12,19.6694,18.33162,17.79695,17.48909,17.31308,0.06841792499999996
13,18.72334,17.479229999999998,16.93554,16.601960000000002,16.36926,0.047215262499999994
14,19.4259,18.32665,17.677989999999998,17.28577,17.012539999999998,0.137429625
15,18.53924,16.56539,15.667279999999998,15.251870000000002,14.91698,0.051335374999999996
16,19.77277,17.85306,16.89392,16.38383,15.98219,0.06947769999999995
17,18.336170000000003,16.504170000000002,15.62662,15.18452,14.84555,0.049099274999999984
18,20.85723,18.97178,17.79089,17.25165,16.84727,0.163179625
19,19.2786,17.957620000000002,17.15232,16.69245,16.37987,0.13536829999999997
20,19.83151,18.16966,17.23794,16.75433,16.37823,0.1221435
21,19.40268,17.57248,16.72935,16.33181,16.07336,0.0734095375
22,19.88062,18.31319,17.52617,17.19997,16.8766,0.07960387499999999
23,20.71674,18.69503,17.58543,17.10203,16.74611,0.15270875
24,18.7378,17.33225,16.645979999999998,16.279020000000003,16.07605,0.08156861249999993
25,19.23616,17.8075,17.14728,16.7632,16.49117,0.0880955875
26,19.71562,18.37576,17.52657,17.0878,16.799889999999998,0.16656324999999997
27,19.39909,18.21384,17.68609,17.3456,17.15798,0.09164028749999999
28,20.15286,18.19079,17.20514,16.73118,16.38859,0.09952762500000001
29,19.29267,17.9073,17.12174,16.66554,16.367810000000002,0.13505525
30,18.74366,17.0682,16.22317,15.79821,15.47496,0.10025370000000002
31,19.83731,18.37708,17.64316,17.26015,17.02355,0.11115587499999999
32,20.53473,18.71689,17.6325,17.13959,16.72157,0.18582287499999997
33,19.21514,17.73208,17.20284,16.878020000000003,16.63072,0.048760437499999996
34,17.66365,15.58604,14.75825,14.34343,13.986070000000002,0.0370935125
35,20.55278,18.7059,17.54063,17.06156,16.69815,0.165538125
36,19.62018,18.349970000000003,17.715410000000002,17.36916,17.18887,0.08538321249999999
37,20.65212,18.53405,17.44521,16.984170000000002,16.597720000000002,0.135794
38,19.44556,18.36397,17.574289999999998,17.15713,16.90059,0.186592875
39,19.77886,17.89442,17.03634,16.64391,16.29918,0.07253681249999999
